SpecificDate,Route,DeliveryDay,Store,City,MilesFromBoulder,ItemCode,Product,PredictedDemand,RecommendedDrop,CurrentDrop,SKUTier,RiskFlag,ShelfCap,ChangeFromCurrent
2026-03-30,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,9530,CO GF Briouche Loaf,1.0,1,1,STRONG,OK,4.0,0
2025-12-31,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,9530,CO GF Briouche Loaf ,1.0,1,4,STRONG,OK,4.0,-3
2026-03-30,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,2160,CO RO 100% Bread WW,1.0,1,0,STRONG,OK,5.0,1
2025-12-29,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,2160,CO RO 100% Bread WW ,1.0,1,2,STRONG,OK,5.0,-1
2026-03-30,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,2040,CO RO Country Morn,2.0,2,1,MODERATE,WATCH,5.0,1
2026-03-30,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,2352,CO RO Crckd Wht Sour,1.0,1,0,MODERATE,WATCH,5.0,1
2026-03-30,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,9500,CO RO GF HOME ORIGI,2.0,2,0,STRONG,OK,4.0,2
2025-12-29,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,9500,CO RO GF HOME ORIGI ,4.0,4,3,STRONG,OK,4.0,1
2026-03-30,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,9450,CO RO GF SOURDOUGH,4.0,4,1,STRONG,OK,4.0,3
2025-12-29,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,9450,CO RO GF SOURDOUGH  ,3.0,3,3,STRONG,OK,4.0,0
2026-03-30,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,9602,CO RO GF Super Seed,1.0,1,0,STRONG,OK,4.0,1
2025-12-29,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,9602,CO RO GF Super Seed ,2.0,2,2,STRONG,OK,4.0,0
2026-03-30,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,2060,CO RO Honey Sweet,2.0,2,1,STRONG,OK,5.0,1
2025-12-29,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,2060,CO RO Honey Sweet   ,1.0,1,2,STRONG,OK,5.0,-1
2026-03-30,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,2120,CO RO Rocky Mt Sour,9.0,5,0,STRONG,OK,5.0,5
2025-12-31,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,2120,CO RO Rocky Mt Sour ,5.0,5,10,STRONG,OK,5.0,-5
2026-03-30,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,4120,CO RO THIN RM SOUR,3.0,1,0,STRONG,OK,4.0,1
2025-12-31,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,4120,CO RO THIN RM SOUR  ,3.0,1,5,STRONG,OK,4.0,-4
2026-03-30,751,Monday,Safeway *SBT #2722 - Littleton,Littleton,32,9531,GF BRIOCHE BURGER BZ,2.0,2,0,MODERATE,WATCH,4.0,2
2026-03-30,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,9530,CO GF Briouche Loaf,1.0,1,1,STRONG,OK,4.0,0
2025-12-31,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,9530,CO GF Briouche Loaf ,1.0,1,2,STRONG,OK,4.0,-1
2026-03-30,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,2160,CO RO 100% Bread WW,2.0,2,1,STRONG,OK,5.0,1
2025-12-29,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,2160,CO RO 100% Bread WW ,1.0,1,1,STRONG,OK,5.0,0
